Algo	Type	runs	id	iterations	Found	time											
AVM	Break 	51	4	1	 true 	0.572											
AVM	Break 	52	4	1	 true 	0.339											
AVM	Break 	53	4	1	 true 	0.820											
AVM	Break 	54	4	1	 true 	0.115											
AVM	Break 	55	4	1	 true 	0.807											
AVM	Break 	56	4	1	 true 	0.238											
AVM	Break 	57	4	1	 true 	0.814											
AVM	Break 	58	4	1	 true 	0.650											
AVM	Break 	59	4	1	 true 	0.241											
AVM	Break 	60	4	1	 true 	0.111											
AVM	Break 	61	4	1	 true 	0.872											
AVM	Break 	62	4	1	 true 	0.614											
AVM	Break 	63	4	1	 true 	0.834											
AVM	Break 	64	4	1	 true 	0.227											
AVM	Break 	65	4	1	 true 	0.443											
AVM	Break 	66	4	1	 true 	0.303											
AVM	Break 	67	4	1	 true 	0.831											
AVM	Break 	68	4	1	 true 	0.628											
AVM	Break 	69	4	1	 true 	0.218											
AVM	Break 	70	4	1	 true 	0.697											
AVM	Break 	71	4	1	 true 	0.387											
AVM	Break 	72	4	1	 true 	0.674											
AVM	Break 	73	4	1	 true 	0.166											
AVM	Break 	74	4	1	 true 	0.215											
AVM	Break 	75	4	1	 true 	0.672											
AVM	Break 	76	4	1	 true 	0.437											
AVM	Break 	77	4	1	 true 	0.249											
AVM	Break 	78	4	1	 true 	0.632											
AVM	Break 	79	4	1	 true 	0.620											
AVM	Break 	80	4	1	 true 	0.429											
AVM	Break 	81	4	1	 true 	0.822											
AVM	Break 	82	4	1	 true 	0.807											
AVM	Break 	83	4	1	 true 	0.285											
AVM	Break 	84	4	1	 true 	0.119											
AVM	Break 	85	4	1	 true 	0.741											
AVM	Break 	86	4	1	 true 	0.282											
AVM	Break 	87	4	1	 true 	0.746											
AVM	Break 	88	4	1	 true 	0.621											
AVM	Break 	89	4	1	 true 	0.087											
AVM	Break 	90	4	1	 true 	0.450											
AVM	Break 	91	4	1	 true 	0.184											
AVM	Break 	92	4	1	 true 	0.573											
AVM	Break 	93	4	1	 true 	0.593											
AVM	Break 	94	4	1	 true 	0.745											
AVM	Break 	95	4	1	 true 	0.203											
AVM	Break 	96	4	1	 true 	0.500											
AVM	Break 	97	4	1	 true 	0.490											
AVM	Break 	98	4	1	 true 	0.679											
AVM	Break 	99	4	1	 true 	0.856											
AVM	Break 	0	5	1	 true 	0.900											
AVM	Break 	1	5	1	 true 	1.016											
AVM	Break 	2	5	1	 true 	0.891											
AVM	Break 	3	5	1	 true 	0.992											
AVM	Break 	4	5	1	 true 	1.136											
AVM	Break 	5	5	1	 true 	1.509											
AVM	Break 	6	5	1	 true 	1.431											
AVM	Break 	7	5	1	 true 	0.976											
AVM	Break 	8	5	1	 true 	0.942											
AVM	Break 	9	5	1	 true 	1.062											
AVM	Break 	10	5	1	 true 	1.378											
AVM	Break 	11	5	1	 true 	1.308											
AVM	Break 	12	5	1	 true 	1.125											
AVM	Break 	13	5	1	 true 	1.353											
AVM	Break 	14	5	1	 true 	1.210											
AVM	Break 	15	5	1	 true 	1.529											
AVM	Break 	16	5	1	 true 	1.205											
AVM	Break 	17	5	1	 true 	1.363											
AVM	Break 	18	5	1	 true 	0.935											
